mc_trial,method,precision,recall,f1,accuracy,tp,tn,fp,fn
45,depth.FMp,0.675,0.6,0.6352941176470589,0.8966666666666666,27,242,13,18
45,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
45,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
45,depth.RPp,0.5945945945945946,0.4888888888888889,0.5365853658536586,0.8733333333333333,22,240,15,23
45,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
46,depth.FMp,0.9090909090909091,0.4444444444444444,0.5970149253731343,0.91,20,253,2,25
46,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
46,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
46,depth.RPp,0.6944444444444444,0.5555555555555556,0.6172839506172839,0.8966666666666666,25,244,11,20
46,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
47,depth.FMp,0.696969696969697,0.5111111111111111,0.5897435897435898,0.8933333333333333,23,245,10,22
47,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
47,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
47,depth.RPp,0.6086956521739131,0.6222222222222222,0.6153846153846154,0.8833333333333333,28,237,18,17
47,WICMAD,0.5365853658536586,0.9777777777777777,0.6929133858267716,0.87,44,217,38,1
48,depth.FMp,0.8888888888888888,0.5333333333333333,0.6666666666666667,0.92,24,252,3,21
48,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
48,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
48,depth.RPp,0.6122448979591837,0.6666666666666666,0.6382978723404255,0.8866666666666667,30,236,19,15
48,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
49,depth.FMp,0.7857142857142857,0.4888888888888889,0.6027397260273972,0.9033333333333333,22,249,6,23
49,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
49,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
49,depth.RPp,0.7333333333333333,0.4888888888888889,0.5866666666666667,0.8966666666666666,22,247,8,23
49,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
50,depth.FMp,0.515625,0.7333333333333333,0.6055045871559632,0.8566666666666667,33,224,31,12
50,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
50,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
50,depth.RPp,0.5571428571428572,0.8666666666666667,0.6782608695652174,0.8766666666666667,39,224,31,6
50,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
51,depth.FMp,0.8571428571428571,0.5333333333333333,0.6575342465753424,0.9166666666666666,24,251,4,21
51,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
51,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
51,depth.RPp,0.5769230769230769,0.6666666666666666,0.6185567010309277,0.8766666666666667,30,233,22,15
51,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
52,depth.FMp,0.7586206896551724,0.4888888888888889,0.5945945945945945,0.9,22,248,7,23
52,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
52,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
52,depth.RPp,0.5869565217391305,0.6,0.5934065934065934,0.8766666666666667,27,236,19,18
52,WICMAD,0.0,0.0,0.0,0.85,0,255,0,45
53,depth.FMp,0.6857142857142857,0.5333333333333333,0.6,0.8933333333333333,24,244,11,21
53,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
53,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
53,depth.RPp,0.4852941176470588,0.7333333333333333,0.584070796460177,0.8433333333333334,33,220,35,12
53,WICMAD,0.0,0.0,0.0,0.85,0,255,0,45
54,depth.FMp,0.896551724137931,0.5777777777777777,0.7027027027027027,0.9266666666666666,26,252,3,19
54,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
54,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
54,depth.RPp,0.3392857142857143,0.8444444444444444,0.48407643312101917,0.73,38,181,74,7
54,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
55,depth.FMp,0.8620689655172413,0.5555555555555556,0.6756756756756757,0.92,25,251,4,20
55,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
55,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
55,depth.RPp,0.6,0.8,0.6857142857142857,0.89,36,231,24,9
55,WICMAD,0.0,0.0,0.0,0.85,0,255,0,45
56,depth.FMp,0.7567567567567568,0.6222222222222222,0.6829268292682927,0.9133333333333333,28,246,9,17
56,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
56,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
56,depth.RPp,0.4935064935064935,0.8444444444444444,0.6229508196721312,0.8466666666666667,38,216,39,7
56,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
57,depth.FMp,0.6578947368421053,0.5555555555555556,0.6024096385542169,0.89,25,242,13,20
57,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
57,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
57,depth.RPp,0.7575757575757576,0.5555555555555556,0.6410256410256411,0.9066666666666666,25,247,8,20
57,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
58,depth.FMp,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.9,21,249,6,24
58,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
58,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
58,depth.RPp,0.4918032786885246,0.6666666666666666,0.5660377358490566,0.8466666666666667,30,224,31,15
58,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
59,depth.FMp,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.9166666666666666,25,250,5,20
59,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
59,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
59,depth.RPp,0.43209876543209874,0.7777777777777778,0.5555555555555556,0.8133333333333334,35,209,46,10
59,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
60,depth.FMp,0.7666666666666667,0.5111111111111111,0.6133333333333334,0.9033333333333333,23,248,7,22
60,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
60,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
60,depth.RPp,0.85,0.37777777777777777,0.523076923076923,0.8966666666666666,17,252,3,28
60,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
61,depth.FMp,0.6037735849056604,0.7111111111111111,0.6530612244897959,0.8866666666666667,32,234,21,13
61,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
61,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
61,depth.RPp,0.48484848484848486,0.7111111111111111,0.5765765765765766,0.8433333333333334,32,221,34,13
61,WICMAD,0.0,0.0,0.0,0.85,0,255,0,45
62,depth.FMp,0.75,0.6666666666666666,0.7058823529411765,0.9166666666666666,30,245,10,15
62,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
62,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
62,depth.RPp,0.6428571428571429,0.6,0.6206896551724138,0.89,27,240,15,18
62,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
63,depth.FMp,0.725,0.6444444444444445,0.6823529411764706,0.91,29,244,11,16
63,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
63,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
63,depth.RPp,0.5517241379310345,0.7111111111111111,0.6213592233009709,0.87,32,229,26,13
63,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
