mc_trial,method,variant,precision,recall,f1,accuracy,tp,tn,fp,fn
72,depth.FM,raw,0.2868217054263566,0.8222222222222222,0.42528735632183906,0.6666666666666666,37,163,92,8
72,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
72,depth.RT,raw,0.7962962962962963,0.9555555555555556,0.8686868686868687,0.9566666666666667,43,244,11,2
72,depth.RP,raw,0.4520547945205479,0.7333333333333333,0.5593220338983051,0.8266666666666667,33,215,40,12
72,depth.RPD,raw,0.9743589743589743,0.8444444444444444,0.9047619047619048,0.9733333333333334,38,254,1,7
72,WICMAD,raw,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
72,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
73,depth.FM,raw,0.2619047619047619,0.4888888888888889,0.34108527131782945,0.7166666666666667,22,193,62,23
73,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
73,depth.RT,raw,0.7843137254901961,0.8888888888888888,0.8333333333333334,0.9466666666666667,40,244,11,5
73,depth.RP,raw,0.35,0.7777777777777778,0.48275862068965514,0.75,35,190,65,10
73,depth.RPD,raw,0.8478260869565217,0.8666666666666667,0.8571428571428571,0.9566666666666667,39,248,7,6
73,WICMAD,raw,0.0,0.0,0.0,0.85,0,255,0,45
73,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
74,depth.FM,raw,0.2462686567164179,0.7333333333333333,0.3687150837988826,0.6233333333333333,33,154,101,12
74,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
74,depth.RT,raw,0.76,0.8444444444444444,0.8,0.9366666666666666,38,243,12,7
74,depth.RP,raw,0.35294117647058826,0.9333333333333333,0.5121951219512195,0.7333333333333333,42,178,77,3
74,depth.RPD,raw,1.0,0.9333333333333333,0.9655172413793104,0.99,42,255,0,3
74,WICMAD,raw,1.0,0.044444444444444446,0.0851063829787234,0.8566666666666667,2,255,0,43
74,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
75,depth.FM,raw,0.1781609195402299,0.6888888888888889,0.28310502283105027,0.4766666666666667,31,112,143,14
75,depth.mode,raw,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9933333333333333,44,254,1,1
75,depth.RT,raw,0.7735849056603774,0.9111111111111111,0.8367346938775511,0.9466666666666667,41,243,12,4
75,depth.RP,raw,0.43820224719101125,0.8666666666666667,0.582089552238806,0.8133333333333334,39,205,50,6
75,depth.RPD,raw,0.8863636363636364,0.8666666666666667,0.8764044943820225,0.9633333333333334,39,250,5,6
75,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
75,WICMAD,deriv,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
