mc_trial,method,precision,recall,f1,accuracy,tp,tn,fp,fn
41,depth.RPp,0.3125,0.4444444444444444,0.3669724770642202,0.77,20,211,44,25
41,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
42,depth.FMp,0.7142857142857143,0.4444444444444444,0.5479452054794521,0.89,20,247,8,25
42,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
42,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
42,depth.RPp,0.25190839694656486,0.7333333333333333,0.37499999999999994,0.6333333333333333,33,157,98,12
42,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
43,depth.FMp,1.0,0.3333333333333333,0.5,0.9,15,255,0,30
43,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
43,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
43,depth.RPp,0.34177215189873417,0.6,0.43548387096774194,0.7666666666666667,27,203,52,18
43,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
44,depth.FMp,1.0,0.3111111111111111,0.4745762711864407,0.8966666666666666,14,255,0,31
44,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
44,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
44,depth.RPp,0.25925925925925924,0.6222222222222222,0.3660130718954248,0.6766666666666666,28,175,80,17
44,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
45,depth.FMp,0.9411764705882353,0.35555555555555557,0.5161290322580645,0.9,16,254,1,29
45,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
45,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
45,depth.RPp,0.30526315789473685,0.6444444444444445,0.4142857142857143,0.7266666666666667,29,189,66,16
45,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
46,depth.FMp,0.4482758620689655,0.5777777777777777,0.5048543689320388,0.83,26,223,32,19
46,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
46,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
46,depth.RPp,0.28865979381443296,0.6222222222222222,0.3943661971830986,0.7133333333333334,28,186,69,17
46,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
